year,country,country_code,indicator,value,source,notes,z,z,z
2000,Albania,ALB,GDP per capita (current billions US$),1126.7,https://www.worldbank.org/ext/en/home,,,,
2000,Bulgaria,BGR,GDP per capita (current billions US$),1621.3,https://www.worldbank.org/ext/en/home,,,,
2000,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),1338.5,https://www.worldbank.org/ext/en/home,,,,
2000,Euro area,EMU,GDP per capita (current billions US$),20039.4,https://www.worldbank.org/ext/en/home,,,,
2000,Croatia,HRV,GDP per capita (current billions US$),4953.7,https://www.worldbank.org/ext/en/home,,,,
2000,North Macedonia,MKD,GDP per capita (current billions US$),1861.9,https://www.worldbank.org/ext/en/home,,,,
2000,Montenegro,MNE,GDP per capita (current billions US$),1627.1,https://www.worldbank.org/ext/en/home,,,,
2000,Serbia,SRB,GDP per capita (current billions US$),974.7,https://www.worldbank.org/ext/en/home,,,,
2000,Slovenia,SVN,GDP per capita (current billions US$),10135.7,https://www.worldbank.org/ext/en/home,,,,
2000,World,WLD,GDP per capita (current billions US$),5494.4,https://www.worldbank.org/ext/en/home,,,,
2001,Albania,ALB,GDP per capita (current billions US$),1281.7,https://www.worldbank.org/ext/en/home,,,,
2001,Bulgaria,BGR,GDP per capita (current billions US$),1770.9,https://www.worldbank.org/ext/en/home,,,,
2001,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),1387.9,https://www.worldbank.org/ext/en/home,,,,
2001,Euro area,EMU,GDP per capita (current billions US$),20289.8,https://www.worldbank.org/ext/en/home,,,,
2001,Croatia,HRV,GDP per capita (current billions US$),5364.8,https://www.worldbank.org/ext/en/home,,,,
2001,North Macedonia,MKD,GDP per capita (current billions US$),1823,https://www.worldbank.org/ext/en/home,,,,
2001,Montenegro,MNE,GDP per capita (current billions US$),1909.6,https://www.worldbank.org/ext/en/home,,,,
2001,Serbia,SRB,GDP per capita (current billions US$),1812.4,https://www.worldbank.org/ext/en/home,,,,
2001,Slovenia,SVN,GDP per capita (current billions US$),10375.6,https://www.worldbank.org/ext/en/home,,,,
2001,World,WLD,GDP per capita (current billions US$),5387.6,https://www.worldbank.org/ext/en/home,,,,
2002,Albania,ALB,GDP per capita (current billions US$),1425.1,https://www.worldbank.org/ext/en/home,,,,
2002,Bulgaria,BGR,GDP per capita (current billions US$),2093,https://www.worldbank.org/ext/en/home,,,,
2002,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),1606.5,https://www.worldbank.org/ext/en/home,,,,
2002,Euro area,EMU,GDP per capita (current billions US$),22049.3,https://www.worldbank.org/ext/en/home,,,,
2002,Croatia,HRV,GDP per capita (current billions US$),6219.6,https://www.worldbank.org/ext/en/home,,,,
2002,North Macedonia,MKD,GDP per capita (current billions US$),1989.1,https://www.worldbank.org/ext/en/home,,,,
2002,Montenegro,MNE,GDP per capita (current billions US$),2106.6,https://www.worldbank.org/ext/en/home,,,,
2002,Serbia,SRB,GDP per capita (current billions US$),2390.7,https://www.worldbank.org/ext/en/home,,,,
2002,Slovenia,SVN,GDP per capita (current billions US$),11639.1,https://www.worldbank.org/ext/en/home,,,,
2002,World,WLD,GDP per capita (current billions US$),5521.9,https://www.worldbank.org/ext/en/home,,,,
2003,Albania,ALB,GDP per capita (current billions US$),1846.1,https://www.worldbank.org/ext/en/home,,,,
2003,Bulgaria,BGR,GDP per capita (current billions US$),2719.5,https://www.worldbank.org/ext/en/home,,,,
2003,Bosnia and Herzegovina,BIH,GDP per capita (current billions US$),2033.9,https://www.worldbank.org/ext/en/home,,,,
2003,Euro area,EMU,GDP per capita (current billions US$),27017.6,https://www.worldbank.org/ext/en/home,,,,
2003,Croatia,HRV,GDP per capita (current billions US$),8190.1,https://www.worldbank.org/ext/en/home,,,,
2003,North Macedonia,MKD,GDP per capita (current billions US$),2445.4,https://www.worldbank.org/ext/en/home,,,,
2003,Montenegro,MNE,GDP per capita (current billions US$),2789.2,https://www.worldbank.org/ext/en/home,,,,
2003,Serbia,SRB,GDP per capita (current billions US$),3153.9,https://www.worldbank.org/ext/en/home,,,,
2003,Slovenia,SVN,GDP per capita (current billions US$),14711.7,https://www.worldbank.org/ext/en/home,,,,
2003,World,WLD,GDP per capita (current billions US$),6112.9,https://www.worldbank.org/ext/en/home,,,,
2004,Albania,ALB,GDP per capita (current billions US$),2373.6,https://www.worldbank.org/ext/en/home,,,,
